WY,Transect,Normalized Wave Power
1980,NaN,NaN
1981,NaN,NaN
1982,NaN,NaN
1983,NaN,NaN
1984,-1.085883328,NaN
1985,2.194963174,0.9224477616
1986,8.237563964,1.016587115
1987,-2.061170983,1.020475653
1988,-5.799314326,0.9899039628
1989,-7.279031764,0.6930115915
1990,-3.272433307,0.7903515242
1991,0.3161232078,0.7930829481
1992,-5.289173695,1.055745639
1993,-5.33752132,0.9494601791
1994,-1.766705379,0.8477020908
1995,5.352456645,1.168919131
1996,0.447907167,1.015755236
1997,11.26185354,0.9444605954
1998,8.270637795,1.511391501
1999,2.821547504,1.345279321
2000,1.833577833,1.09939473
2001,-1.373638083,1.152353945
2002,-4.64562967,1.077503131
2003,-2.768499982,1.129565412
2004,1.474050189,0.9416624018
2005,1.068130145,0.8745290552
2006,2.433538163,1.099281596
2007,-1.723978019,0.9185054655
2008,-1.359934222,1.058805708
2009,-0.05505201188,0.8049715384
2010,9.871895858,1.275216749
2011,5.346545497,0.9040490729
2012,-0.3419442283,0.9907942211
2013,-9.134881221,0.8621896954
2014,-9.902222467,0.761370896
2015,-14.26692847,0.8132659922
2016,-12.09478824,1.38613068
2017,17.27744621,1.07571494
2018,1.396669336,0.7974085346
2019,0.1181461823,1.085589316
2020,-7.228526739,0.8549500726
,,0.8549500726
